key,en,ru,fr
"terroir.h2","Nyamasheke,<br>between the lake and the forest","Ньямашеке,<br>между озером и лесом","Nyamasheke,<br>entre le lac et la for&ecirc;t"
"terroir.p","Lake Kivu holds the heat on one side, Nyungwe rainforest pulls cool air down the other. The cherries ripen slowly in between.","Озеро Киву удерживает тепло с одной стороны, тропический лес Ньюнгве приносит прохладу с другой. Между ними вишни созревают медленно.","Le lac Kivu retient la chaleur d'un c&ocirc;t&eacute;, la for&ecirc;t de Nyungwe apporte l'air frais de l'autre. Les cerises m&ucirc;rissent lentement entre les deux."
"gallery.h2","Photos from the plantation","Фотографии с плантации","Photos de la plantation"
"gallery.lead","A season on the station, in pictures &mdash; from first blossom to bagged green coffee.","Сезон на станции в фотографиях &mdash; от первого цветения до мешков с зелёным кофе.","Une saison &agrave; la station, en images &mdash; de la premi&egrave;re floraison au caf&eacute; vert en sacs."
"gallery.cap1","Still ripening","Ещё созревает","Encore en maturation"
"gallery.cap2","Sun-dried slowly","Медленная сушка на солнце","S&eacute;chage lent au soleil"
"gallery.cap3","New seedlings","Молодые саженцы","Jeunes plants"
"gallery.cap4","Hand-picked at<br>peak ripeness","Собрано вручную<br>на пике зрелости","Cueillis &agrave; la main<br>&agrave; pleine maturit&eacute;"
"gallery.cap5","Sorted by hand,<br>lot by lot","Отсортировано вручную,<br>лот за лотом","Tri&eacute;s &agrave; la main,<br>lot par lot"
"videos.h2","Our videos","Наши видео","Nos vid&eacute;os"
"videos.lead","Short clips from the station &mdash; the same hills and hands from the gallery above, caught in motion.","Короткие ролики со станции &mdash; те же холмы и руки, что и в галерее выше, но в движении.","De courtes vid&eacute;os de la station &mdash; les m&ecirc;mes collines et les m&ecirc;mes mains que dans la galerie, en mouvement."
"videos.meta1","0:16 &mdash; On Lake Kivu","0:16 &mdash; На озере Киву","0:16 &mdash; Sur le lac Kivu"
"videos.meta2","0:18 &mdash; Across the hillsides","0:18 &mdash; Среди холмистых плантаций","0:18 &mdash; Sur les coteaux en terrasses"
"videos.meta3","0:24 &mdash; Sunset on the lake","0:24 &mdash; Закат над озером","0:24 &mdash; Coucher de soleil sur le lac"
"videos.meta4","0:13 &mdash; Among the coffee bushes","0:13 &mdash; Среди кофейных кустов","0:13 &mdash; Parmi les caf&eacute;iers"
"tours.h2","Visit Ruvumbu","Посетите Ruvumbu","Visitez Ruvumbu"
"tours.lead","See where your coffee begins. Tours run one group at a time, by prior arrangement, from the nursery to the drying tables.","Увидьте, откуда начинается ваш кофе. Туры проводятся для одной группы за раз, по предварительной договорённости — от питомника до сушильных столов.","D&eacute;couvrez d'o&ugrave; vient votre caf&eacute;. Les visites se font pour un groupe &agrave; la fois, sur rendez-vous, de la p&eacute;pini&egrave;re aux tables de s&eacute;chage."
"tours.incl1","Guided walk through the coffee gardens","Экскурсия по кофейным садам","Visite guid&eacute;e des jardins de caf&eacute;"
"tours.incl2","How the cherries are grown and processed","Как выращивают и обрабатывают вишни","Comment les cerises sont cultiv&eacute;es et trait&eacute;es"
"tours.incl3","Cupping session at the station","Дегустация на станции","Session de d&eacute;gustation &agrave; la station"
"tours.incl4","Time with the people who run it","Время с людьми, которые всем управляют","Un moment avec l'&eacute;quipe qui g&egrave;re la station"
"tours.cta","Book a farm tour","Забронировать тур","R&eacute;server une visite"
"footer.copy","&copy; 2026 All rights reserved.","&copy; 2026 Все права защищены.","&copy; 2026 Tous droits r&eacute;serv&eacute;s."
"footer.brand","Ruvumbu<br>Coffee Station","Ruvumbu<br>Coffee Station","Ruvumbu<br>Coffee Station"
"footer.tagline","Specialty coffee from the hills of Rwanda &mdash; farm-direct to roasters worldwide.","Элитный кофе с высокогорий Руанды &mdash; напрямую с фермы обжарщикам по всему миру.","Caf&eacute; de sp&eacute;cialit&eacute; des collines du Rwanda &mdash; vendu directement de la ferme aux torr&eacute;facteurs du monde entier."
"footer.terroir","Terroir","Терруар","Terroir"
"footer.terms","Terms","Условия","Conditions"
"footer.privacy","Privacy","Конфиденциальность","Confidentialit&eacute;"
"footer.dpa","DPA","DPA","DPA"
"footer.trust","Trust","Доверие","Confiance"
"footer.credit","designed by <strong>sergdsgn</strong>","дизайн: <strong>sergdsgn</strong>","con&ccedil;u par <strong>sergdsgn</strong>"
"quote.title","Get a wholesale quote","Запросить оптовые цены","Demander un devis en gros"
"quote.lead","Pick a volume tier, leave your details, and we'll send pricing to your inbox.","Выберите объём, оставьте контакты — мы пришлём цены вам на почту.","Choisissez un volume, laissez vos coordonn&eacute;es et nous vous enverrons les tarifs par e-mail."
"quote.th.volume","Volume","Объём","Volume"
"quote.th.weight","Weight","Вес","Poids"
"quote.th.price","Price","Цена","Prix"
"quote.row1.vol","1 pallet","1 палета","1 palette"
"quote.row1.weight","600 kg","600 кг","600 kg"
"quote.row2.vol","2&ndash;3 pallets","2&ndash;3 палеты","2&ndash;3 palettes"
"quote.row2.weight","1,200&ndash;1,800 kg","1 200&ndash;1 800 кг","1 200&ndash;1 800 kg"
"quote.row3.vol","4&ndash;7 pallets","4&ndash;7 палет","4&ndash;7 palettes"
"quote.row3.weight","2,400&ndash;4,200 kg","2 400&ndash;4 200 кг","2 400&ndash;4 200 kg"
"quote.row4.vol","8+ pallets","8+ палет","8+ palettes"
"quote.row4.weight","4,800+ kg","4 800+ кг","4 800+ kg"
"quote.row5.vol","20-ft container","20-фут контейнер","Conteneur 20 pieds"
"quote.row5.weight","~16.5 t","~16,5 т","~16,5 t"
"quote.name","Name","Имя","Nom"
"quote.email","Email","Почта","E-mail"
"quote.submit","Send request","Отправить запрос","Envoyer la demande"
"quote.success","Thanks &mdash; we'll follow up by email shortly.","Спасибо &mdash; скоро ответим вам на почту.","Merci &mdash; nous revenons vers vous par e-mail sous peu."
"tour.title","Book a farm tour","Забронировать тур","R&eacute;server une visite"
"tour.lead","Leave your details and we'll confirm the next available date.","Оставьте контакты, и мы подтвердим ближайшую доступную дату.","Laissez vos coordonn&eacute;es, nous confirmerons la prochaine date disponible."
"tour.submit","Send request","Отправить запрос","Envoyer la demande"
"tour.success","Thanks &mdash; we'll be in touch to confirm your visit.","Спасибо &mdash; мы свяжемся с вами для подтверждения визита.","Merci &mdash; nous vous contacterons pour confirmer votre visite."
"legal.terms.title","Terms of Service","Условия использования","Conditions d'utilisation"
"legal.terms.body","<p>By ordering from Ruvumbu Coffee Station or booking a farm tour, you agree to these terms. Wholesale pricing requests submitted through this site are quotes, not confirmed orders &mdash; every order is confirmed by email before shipment.</p><p>Farm tours are booked by prior arrangement and subject to availability. Please let us know at least 48 hours in advance if you need to reschedule or cancel.</p><p>All text, photos and video on this site belong to Ruvumbu Coffee Station unless stated otherwise, and may not be reused without permission.</p><p>We may update these terms from time to time. Continuing to use the site means you accept the current version.</p>","<p>Оформляя заказ у Ruvumbu Coffee Station или бронируя фермерский тур, вы соглашаетесь с этими условиями. Запросы цен через сайт &mdash; это предложения, а не подтверждённые заказы: каждый заказ подтверждается по почте перед отправкой.</p><p>Туры бронируются заранее и зависят от наличия свободных дат. Пожалуйста, предупредите нас минимум за 48 часов, если нужно перенести или отменить визит.</p><p>Все тексты, фото и видео на сайте принадлежат Ruvumbu Coffee Station, если не указано иное, и не могут использоваться без разрешения.</p><p>Мы можем время от времени обновлять эти условия. Продолжая пользоваться сайтом, вы принимаете актуальную версию.</p>","<p>En commandant aupr&egrave;s de Ruvumbu Coffee Station ou en r&eacute;servant une visite, vous acceptez ces conditions. Les demandes de tarifs envoy&eacute;es via ce site sont des devis, pas des commandes confirm&eacute;es &mdash; chaque commande est confirm&eacute;e par e-mail avant exp&eacute;dition.</p><p>Les visites se r&eacute;servent &agrave; l'avance et selon disponibilit&eacute;. Merci de nous pr&eacute;venir au moins 48 heures &agrave; l'avance pour tout changement ou annulation.</p><p>Tous les textes, photos et vid&eacute;os de ce site appartiennent &agrave; Ruvumbu Coffee Station sauf mention contraire, et ne peuvent &ecirc;tre r&eacute;utilis&eacute;s sans autorisation.</p><p>Ces conditions peuvent &ecirc;tre mises &agrave; jour ponctuellement. Continuer &agrave; utiliser le site signifie que vous acceptez la version en vigueur.</p>"
"legal.privacy.title","Privacy Policy","Политика конфиденциальности","Politique de confidentialit&eacute;"
"legal.privacy.body","<p>We only collect the name and email address you submit through our quote and tour forms, and use them solely to respond to your request.</p><p>We never sell your data to third parties. Basic, anonymised analytics may be used to understand how visitors use the site.</p><p>Your details are kept only as long as needed to handle your enquiry, then deleted.</p><p>To request access to or deletion of your data, email <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>","<p>Мы собираем только имя и email, которые вы указываете в формах запроса цен и бронирования тура, и используем их исключительно для ответа на ваш запрос.</p><p>Мы никогда не продаём ваши данные третьим лицам. Может использоваться базовая обезличенная аналитика, чтобы понимать, как посетители пользуются сайтом.</p><p>Ваши данные хранятся только столько, сколько нужно для обработки запроса, а затем удаляются.</p><p>Чтобы запросить доступ к своим данным или их удаление, напишите на <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>","<p>Nous ne collectons que le nom et l'e-mail que vous indiquez dans nos formulaires de devis et de r&eacute;servation, et les utilisons uniquement pour r&eacute;pondre &agrave; votre demande.</p><p>Nous ne vendons jamais vos donn&eacute;es &agrave; des tiers. Une analyse anonymis&eacute;e basique peut &ecirc;tre utilis&eacute;e pour comprendre l'usage du site.</p><p>Vos donn&eacute;es sont conserv&eacute;es uniquement le temps n&eacute;cessaire au traitement de votre demande, puis supprim&eacute;es.</p><p>Pour demander l'acc&egrave;s &agrave; vos donn&eacute;es ou leur suppression, &eacute;crivez &agrave; <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>"
"legal.dpa.title","Data Processing Agreement","Соглашение об обработке данных","Accord de traitement des donn&eacute;es"
"legal.dpa.body","<p>Ruvumbu Coffee Station acts as data controller for the information submitted through this site's forms.</p><p>Any subprocessors we use, such as email delivery services, are bound by equivalent data-protection obligations.</p><p>Data is stored only for as long as needed to handle your enquiry or order, and is not transferred outside what's required to fulfil it.</p><p>If your organisation needs a signed DPA on file, contact <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>","<p>Ruvumbu Coffee Station выступает оператором данных, отправленных через формы на этом сайте.</p><p>Любые субподрядчики, которых мы используем (например, сервисы отправки почты), связаны эквивалентными обязательствами по защите данных.</p><p>Данные хранятся только столько, сколько нужно для обработки запроса или заказа, и не передаются сверх необходимого для его выполнения.</p><p>Если вашей организации нужно подписанное соглашение DPA, напишите на <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>","<p>Ruvumbu Coffee Station agit en tant que responsable du traitement des informations soumises via les formulaires de ce site.</p><p>Tout sous-traitant que nous utilisons, comme les services d'envoi d'e-mails, est li&eacute; par des obligations de protection des donn&eacute;es &eacute;quivalentes.</p><p>Les donn&eacute;es ne sont conserv&eacute;es que le temps n&eacute;cessaire au traitement de votre demande ou commande.</p><p>Si votre organisation a besoin d'un DPA sign&eacute;, contactez <a href=""mailto:hello@ruvumbu.rw"">hello@ruvumbu.rw</a>.</p>"
"legal.trust.title","Trust &amp; Quality","Доверие и качество","Confiance et qualit&eacute;"
"legal.trust.body","<p>Every lot is traceable from the farmer who grew it to the container that ships it.</p><p>Quality is cupped and verified at the station before anything leaves for the port &mdash; nothing ships that we haven't tasted ourselves.</p><p>We work directly with our partner farmers, on transparent, predictable terms.</p><p>Wholesale orders are always confirmed in writing before any payment is requested.</p>","<p>Каждый лот можно проследить от фермера, который его вырастил, до контейнера, в котором он отправляется.</p><p>Качество дегустируется и проверяется на станции перед отправкой в порт &mdash; мы не отправляем то, что не пробовали сами.</p><p>Мы работаем напрямую с фермерами-партнёрами на прозрачных, предсказуемых условиях.</p><p>Оптовые заказы всегда подтверждаются письменно до того, как запрашивается оплата.</p>","<p>Chaque lot est tra&ccedil;able, du producteur qui l'a cultiv&eacute; jusqu'au conteneur qui l'exp&eacute;die.</p><p>La qualit&eacute; est d&eacute;gust&eacute;e et v&eacute;rifi&eacute;e &agrave; la station avant tout d&eacute;part vers le port &mdash; rien n'est exp&eacute;di&eacute; sans avoir &eacute;t&eacute; go&ucirc;t&eacute; par nos soins.</p><p>Nous travaillons directement avec nos fermiers partenaires, selon des conditions transparentes et pr&eacute;visibles.</p><p>Les commandes en gros sont toujours confirm&eacute;es par &eacute;crit avant toute demande de paiement.</p>"
